Ulice,Mesto,Pocet
Boženy němcové,Brno,50
Tvrdého,Brno,49
Slámova,Brno,49
Pavlovská,Brno,49
Oderská,Brno,48
V aleji,Brno,47
Souběžná,Brno,47
Rybářská,Brno,47
Hudcova,Brno,47
Žitná,Brno,46
U hřiště,Brno,46
Podpísečná,Brno,46
Gabriely preissové,Brno,46
Lužná,Brno,45
Hvozdecká,Brno,45
Mikuláškovo náměstí,Brno,44
Maškova,Brno,44
Majdalenky,Brno,44
Lužánecký park,Brno,44
Klíčova,Brno,44
Dobrovského,Brno,44
Tišnovská,Brno,43
Slovinská,Brno,43
Ondrouškova,Brno,43
Maříkova,Brno,43
Jílkova,Brno,43
Jedovnická,Brno,43
Francouzská,Brno,43
Florianova,Brno,43
Došlíkova,Brno,43
Turistická,Brno,42
Mutěnická,Brno,42
Metodějova,Brno,42
Marie steyskalové,Brno,42
Košinova,Brno,42
Hodonínská,Brno,42
Fillova,Brno,42
Vaculíkova,Brno,41
Těšínská,Brno,41
Soudní,Brno,41
Nad přehradou,Brno,41
Komenského náměstí,Brno,41
Husovická,Brno,41
Heleny malířové,Brno,41
Březová,Brno,41
Vinařického,Brno,40
Schwaigrova,Brno,40
Porhajmova,Brno,40
Jírova,Brno,40
Jílová,Brno,40
Česká,Brno,39
Vltavská,Brno,39
Venhudova,Brno,39
Sýpka,Brno,39
Mozolky,Brno,39
Kudelova,Brno,39
Absolonova,Brno,39
Marie hübnerové,Brno,38
Lieberzeitova,Brno,38
Janouškova,Brno,38
Heyrovského,Brno,38
Grmelova,Brno,38
Chaloupeckého náměstí,Brno,38
Bašného,Brno,38
Reissigova,Brno,37
Mečová,Brno,37
Křivánkovo náměstí,Brno,37
Kosmákova,Brno,37
Karáskovo náměstí,Brno,37
Filipova,Brno,37
Renčova,Brno,36
Pražákova,Brno,36
Palackého náměstí,Brno,36
Milénova,Brno,36
Kolaříkova,Brno,36
Ibsenova,Brno,36
Chudčická,Brno,36
Chopinova,Brno,36
Žarošická,Brno,35
Říčanská,Brno,35
Ypsilantiho,Brno,35
Vážného,Brno,35
Resslova,Brno,35
Konradova,Brno,35
Jeneweinova,Brno,35
