|§ 35 odst. 1 písm. e) zákona è. 65/2017 Sb., o ochranì zdraví pøed škodlivými úèinky návykových látek;262;;;
§ 27  odst.1 písm. s) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;239;;;
èlánek 1, Obecnì závazné vyhlášky è. 9/2017, o pravidlech pro pohyb psù|§46 odst. 2 zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;188;;;
§ 74 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;182;;;
§ 3 až § 79a zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;164;;;
§ 27  odst. 4 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;155;;;
|§ 47 odst. 1 písm. e) zákona è. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;144;;;
§ 27 odst. 1 písm. r) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;139;;;
|§ 5 odst. 1 písm. f) zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;138;;;
èlánek è.2 Obecnì závazné vyhlášky statutárního mìsta Brna è. 5/2014, k zabezpeèení místních záležitostí veøejného poøádku pøi nabízení, poskytování a využívání sexuálních služeb na veøejném prostranství|§ 4 odst. 2 zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;126;;;
|§ 30 odst. 1 písm. m) zákona è. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;116;;;
naøízení Statutárního mìsta Brna è. 4/2011, kterým se vymezují místní komunikace nebo jejich úseky, jež lze užít ke stání vozidel jen po zaplacení ceny|§ 46 odst. 1 zákona è. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;116;;;
èlánek è. 2, Obecnì závazné vyhlášky statutárního mìsta Brna è. 5/2014, k zabezpeèení místních záležitostí veøejného poøádku pøi nabízení, poskytování a využívání sexuálních služeb na veøejných prostranstvích |§46 odst. 2 zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;111;;;
§ 67 odst.8  zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 11 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;111;;;
èlánek è. 2, Obecnì závazné vyhlášky statutárního mìsta Brna è. 6/2010 k zabezpeèení místních záležitostí veøejného poøádku, kterou se vymezují veøejná prostranství, na nichž se zakazuje žebrání|§46 odst. 2 zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;97;;;
§49 odst. 2 písm. d) zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;89;;;
§ 27  odst.1 písm. f) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;89;;;
|§8 odst. 1 písm. a) BOD 4. zák. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;81;;;
|§ 47 odst. 1 písm. c) zákona è. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;81;;;
§ 18 odst.4, zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 2 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;64;;;
|§7 odst. 1 písm. c) BOD 4 zák. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;62;;;
§ 27  odst.1 písm. i) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;57;;;
|§50 odst. 1 písm. d) zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;56;;;
èlánek è.2 Obecnì závazné vyhlášky statutárního mìsta Brna è.6/2010 k zabezpeèení místních záležitostí veøejného poøádku, kterou sem vymezují veøejná prostranství, na nichž se zakazuje žebrání|§ 4 odst. 2 zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;51;;;
|§7 odst. 1 písm. b) zák. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;47;;;
§ 27  odst.1 písm. l) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;45;;;
§ 67  zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 11 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;44;;;
|§ 5 odst. 1 písm. d) zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;43;;;
§ 27  odst.1 písm. h) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;41;;;
|§ 47 odst. 1 písm. i) zákona è. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;41;;;
|§ 47 odst. 1 písm. a) zákona è. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;38;;;
§ 7 odst. 1 písm. c) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 1 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;37;;;
§ 5 odst.1 písm. a) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;37;;;
|§ 49 odst. 1 písm. b) zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;35;;;
§ 53 odst.1 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;34;;;
|§ 5 odst. 1 písm. a) zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;32;;;
§ 25 odst.4 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;31;;;
