Hoppova;80;;;;2017-09-03 23:17:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Horní;12;;;;2017-09-03 23:43:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Horníkova;32;;;;2017-09-03 23:44:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Horova;197;;;;2017-09-03 23:45:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Horská;2;;;;2017-09-03 23:47:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Horymírova;2;;;;2017-09-03 23:49:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Horácké námìstí;117;;;;2017-09-03 23:52:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Horákova;8;;;;2017-09-04 13:56:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Hostinského;120;;;;2017-09-04 13:56:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Hostislavova;1;;;;2017-09-04 13:56:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Houbalova;17;;;;2017-09-06 12:20:00.000;námìstí 28. dubna 10, Brno-Bystrc
Houškova;1;;;;2017-09-12 10:21:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Hoštická;17;;;;2017-09-12 10:23:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Hrad veveøí;1;;;;2017-09-13 14:56:00.000;námìstí 28. øíjna 23, Brno-Èerná Pole
Hradecká;154;;;;2017-09-13 15:03:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Hranièky;18;;;;2017-09-13 17:59:00.000;námìstí 28. øíjna 23, Brno-Èerná Pole
Hrnèíøská;414;;;;2017-09-13 18:04:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Hromádkova;61;;;;2017-09-13 18:16:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Hroznová;3;;;;2017-09-14 08:45:00.000;námìstí 28. dubna 48, Brno-Bystrc
Hrozòatova;7;;;;2017-09-14 08:45:00.000;námìstí 28. dubna 48, Brno-Bystrc
Hrubého;22;;;;2017-09-15 11:30:00.000;námìstí 28. øíjna 3, Brno-Èerná Pole
Hrušòová;2;;;;2017-09-16 03:07:00.000;námìstí 28. øíjna 23, Brno-Èerná Pole
Hrázka;68;;;;2017-09-18 00:12:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Hrázní;576;;;;2017-09-18 00:14:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Hrázní-U lva;1;;;;2017-09-18 00:15:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Hrázní-U septima;6;;;;2017-09-18 00:16:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Hrázní-zátoka;1;;;;2017-09-18 00:17:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Hubrova;8;;;;2017-09-18 00:18:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Hudcova;47;;;;2017-09-18 00:19:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Hujíèkova;1;;;;2017-09-18 00:20:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Humenná;8;;;;2017-09-18 00:22:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Husitská;221;;;;2017-09-18 00:24:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Husitská-9;1;;;;2017-09-21 08:51:00.000;námìstí 28. dubna 2, Brno-Bystrc
Husova;310;;;;2017-09-21 08:51:00.000;námìstí 28. dubna 2, Brno-Bystrc
Husova-3 zezadu;2;;;;2017-09-21 08:55:00.000;námìstí 28. dubna 2, Brno-Bystrc
Husovická;41;;;;2017-09-21 08:55:00.000;námìstí 28. dubna 2, Brno-Bystrc
Hutaøova;58;;;;2017-09-21 08:55:00.000;námìstí 28. dubna 2, Brno-Bystrc
Hviezdoslavova;9;;;;2017-09-21 08:58:00.000;námìstí 28. dubna 2, Brno-Bystrc
Hvozdecká;45;;;;2017-09-21 09:00:00.000;námìstí 28. dubna 2, Brno-Bystrc
Hvìzdová;176;;;;2017-09-21 11:54:00.000;námìstí 28. dubna 61, Brno-Bystrc
Hvìzdárenská;6;;;;2017-09-21 15:02:00.000;námìstí 28. dubna 2, Brno-Bystrc
Hybešova;1435;;;;2017-09-22 09:08:00.000;námìstí 28. øíjna 8, Brno-Èerná Pole
Hájkova;11;;;;2017-09-26 10:14:00.000;námìstí 28. dubna 61, Brno-Bystrc
Hálkova;77;;;;2017-09-27 11:41:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Högrova;6;;;;2017-09-27 11:41:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Húskova;33;;;;2017-09-27 16:12:00.000;námìstí 28. øíjna 23, Brno-Èerná Pole
Ibsenova;34;;;;2017-09-29 01:49:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Ibsenova-5;2;;;;2017-09-29 01:51:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Irkutská;23;;;;2017-09-29 01:52:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Ivanovické námìstí;6;;;;2017-09-29 01:52:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jabloòová;13;;;;2017-09-29 01:55:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jahodová;7;;;;2017-10-04 02:06:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jakuba obrovského;32;;;;2017-10-04 02:15:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jakubská;95;;;;2017-10-04 02:17:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jakubské námìstí;203;;;;2017-10-04 02:19:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jamborova;31;;;;2017-10-04 02:20:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
