ulice;poèet doprava
Koneèného Námìstí;1
Koniklecová;19
Konopná;1
Konradova;7
Konrádova;1
Koperníkova;2
Kopeèná;5
Korejská;1
Kosmonautù;3
Kosmova;20
Kosmákova;5
Kotlanova;5
Kotláøská;6
Kotulánova;1
Kotìrova;13
Kounicova;68
Koutného;3
Kovaøovicova;1
Kovácká;5
Kováøská;1
Kozí;5
Koøískova;1
Košinova;4
Košulièova;1
Krasová;1
Krausova;11
Kraví Hora;79
Kroftova;1
Krokova;12
Kromìøíská;2
Krondlova;1
Kroupova;2
Krymská;3
Králova;1
Královopolská;7
Královopolskı Tunel;1
Krásného;22
Kubova;1
Kubánská;16
Kubíkova;2
Kubíèkova;22
Kudelova;1
Kuldova;7
Kurská;72
Kuršova;12
Kuèerova;1
Kvìtináøská;1
Kyjevská;2
Kárníkova;3
Káèata;7
Körnerova;2
Køehlíkova;1
Køenová;72
Køivánky;1
Køídlovická;35
Køíová;3
Kšírova;8
Labská;12
Langrova;1
Lazaretní;7
Laštùvkova;4
Ledárenská;1
Leitnerova;7
Lelekovice;1
Lelkova;1
Lesnická;4
Letecká;1
Libušina Tøída;38
Libušino Údolí;2
Lidická;13
Lieberzeitova;1
Liliová;1
Lipová;2
Lomená;7
Loosova;7
Ludmily Koneèné;4
Luèiny;1
Luèní;9
Luná;2
Luánecká;5
Luáneckı Park;43
Lány;6
Lísky;1
Líšeòská;16
Lıskova;5
Majdalenky;3
Makovského Námìstí;29
Malinovského Námìstí;7
Malátova;2
Malínská;1
Manièky;5
Marie Hübnerové;1
Marie Kudeøíkové;8
Marie Steyskalové;2
Mariánské Námìstí;7
Mariánské Údolí;7
Markovièova;1
Markéty Kuncové;6
Markùvky;1
Masarova;13
Masarykova;21
Masarykùv Okruh;1
Masná;4
Matalova;1
Mathonova;1
Matzenauerova;1
Mazourova;2
Melatín;1
Meluzínova;2
Mendlovo Námìstí;136
Merhautova;49
Mezníkova;1
Mezírka;5
Meèová;6
Michalova;1
Mifkova;4
Mikulovská;2
Mikuláškovo Námìstí;7
Mikulèická;7
Milady Horákové;4
Milénova;3
Minoritská;9
Minská;3
Mlınská;37
Mlınské Nábøeí;2
Modøická;3
Mojmírovo Námìstí;4
Moldavská;5
Molákova;4
Moravské Námìstí;8
Mostecká;2
Mozartova;9
Mozolky;3
Mrkosova;2
Musorgského;1
Mutìnická;5
Muškátová;1
Myslivecká;1
Myslivní;2
Myslínova;2
Mácova;1
Mánesova;13
Mírová;9
Míèkova;1
Mìšanská;9
Na Kovárnì;1
Na Lukách;1
Na Pískové;2
Nad Dìdinou;1
Nad Pisárkami;1
Nadaèní;2
Nedbalova;1
Nejedlého;2
Neklanova;1
Nekle;1
Netopırky;3
Netroufalky;123
Neuilova;1
Nezamyslova;9
Nivky;1
Nopova;2
Novobranská;4
Novolíšeòská;36
Novomìstská;3
Nováèkova;3
Nové Sady;6
Nádraní;825
Nádvorní;24
Nálepkova;1
Námìstí 28. Dubna;53
Námìstí 28. Øíjna;6
Námìstí 3. Kvìtna;1
Námìstí Karla IV.;1
Námìstí Míru;4
Námìstí Republiky;5
Námìstí SNP;8
Námìstí Svobody;73
Námìstí Svornosti;21
Náplavka;8
Obilní Trh;10
Oblá;34
Obvodová;4
Obøanská;2
Odbojáøská;1
Oderská;10
Okrouhlá;5
Okruní;19
Olomoucká;11
Olší;1
Ondrouškova;12
Ondrova;14
Ondráèkova;3
Ondøíèkovo Námìstí;2
Opavská;11
Opletalova;1
Optátova;4
Opuštìná;1
Opálkova;13
Orlí;3
Osová;5
Ostrovaèická;1
Otakara Ševèíka;1
Otevøená;1
Otiskova;1
Ovocná;1
Pahrbek;2
Palackého Tøída;20
Palackého Vrch;5
Palcary;38
Park Marie Restituty;1
Pastrnkova;5
Pastviny;33
Pavlovská;24
Pechova;1
Pekaøská;12
Pellicova;7
Petra Køivky;67
Petrská;1
Petrùvky;1
Pionırská;1
Pisárecká;1
Pivovarská;3
Plachtova;2
Plachty;7
Plevova;1
Plotní;21
Plovdivská;4
Plynárenská;1
Pod Borovníkem;1
Pod Holednou;1
Pod Horkou;3
Pod Hády;1
Pod Kaštany;73
Pod Kopcem;3
Pod Nemocnicí;10
Pod Sídlištìm;1
Podhájí;3
Podlesná;1
Podlipná;3
Podnásepní;3
Podolská;3
Podpìrova;2
Podruhova;1
Podsedky;5
Podstránská;3
Podveská;3
Pohoøelec;2
Polní;40
Poláèkova;3
Pompova;1
Ponávka;2
Popelova;1
Popelákova;1
Porhajmova;4
Potocká;1
Poznaòská;7
Poøíèí;5
Poštovská;1
Poární;1
Praská;1
Preslova;1
Prodlouená;1
Prokešova;1
Prokofjevova;1
Prostìjovská;2
Provazníkova;1
Proškovo Námìstí;1
Prušánecká;7
Práèata;2
Prùchodní;1
Ptašínského;1
Purkyòova;18
Pálavské Námìstí;46
Pøadlácká;3
Pøední;6
Pøemyslovo Námìstí;10
Pøíkop;4
Pøístavní;55
Pøívrat;1
Pøízova;3
Pøíèky;1
Pøíèní;2
Pšeník;1
Rajhradská;2
Rakovecká;195
Rakovecká Zátoka;1
Rašelinová;1
Rašínova;3
Rebešovická;6
Renneská Tøída;24
Renèova;4
Rerychova;5
Resslova;1
Rená;2
Riegrova;2
Rokle;1
Rokytova;7
Rolencova;1
Rolnická;2
Rooseveltova;55
Rostislavovo Námìstí;3
Rotalova;3
Rousínovská;11
Roviny;6
Rozmarınová;7
Rozárka;1
Rudišova;1
Rumištì;17
Ruská;1
Ruskı Vrch;1
Rybkova;1
Rybnická;3
Rybáøská;1
Rysova;1
Ryšánkova;2
Rázusova;1
Sadaøská;1
Sady Osvobození;3
Salajní;3
Samoty;1
Scheinerova;1
Schreberovy Zahrádky;6
Schwaigrova;4
Sedláèkova;27
Seifertova;35
Sekaninova;1
Sevastopolská;5
Sibiøská;1
Skalní;2
Skandinávská;36
Skopalíkova;5
Skorkovského;7
Skácelova;1
Skøivanova;3
Skøivánèí;1
Sladkého;2
Sladovnická;5
Slatinka;1
Slavkovská;3
Slavíèkova;1
Slepá;1
Slevaèská;3
Slezská;1
Slovanské Námìstí;5
Slovinská;2
Slovákova;1
Sluneèná;1
Sládkova;2
Slámova;4
Slívova;22
Smetanova;4
Sobìšická;8
Sochorova;8
Sokolnická;2
Sokolova;8
Solnièní;3
Soubìná;6
Soudní;5
Souhrady;7
Sousední;1
Splaviska;1
Spodní;5
Spojovací;3
Spolková;1
Sportovní;35
Spálená;5
Spìšná;1
Srbská;15
Stamicova;15
Starobrnìnská;10
Stará;1
Stará Dálnice;1
Stará Osada;144
Staré Námìstí;2
Stavební;3
Staòkova;6
Stejskalova;2
Strakatého;2
Strmá;1
Strnadova;5
Stránská;4
Stránského;22
Stránická;1
Strání;1
Studentská;38
Studená;4
Studánka;1
Støední;6
Støelnice;1
Sušilova;3
Svatopetrská;3
Svatopluka Èecha;2
Svatoplukova;13
Svitavská;8
Svitavské Nábøeí;4
Svratecká;9
Sváná;20
Synkova;36
Technická;19
Tenorova;1
Tererova;1
Terezy Novákové;5
Teslova;1
Teyschlova;11
Tilhonova;5
Tkalcovská;109
Tolstého;1
Tomanova;1
Toèná;1
Traubova;2
Trnkova;11
Trtílkova;1
Trıbova;2
Trní;3
Turgenìvova;21
Turistická;1
Tuèkova;5
Tuøanka;8
Tuøanská;1
Tuøanské Námìstí;4
Tvrdonická;2
Tyršùv Sad;12
Tábor;7
Táborská;32
Tìšínská;1
Tìební;3
Tøída Generála Píky;9
Tøída Kpt. Jaroše;2
U Høištì;4
