MISTO;Ulice;
Technická;Brno;219
Petrská;Brno;219
Bašty;Brno;218
Novolíšeòská;Brno;217
Hlavní;Brno;216
Cihláøská;Brno;214
Malinovského námìstí;Brno;210
Drobného;Brno;209
námìstí svobody;Brno;208
Pøíkop;Brno;207
Døevaøská;Brno;207
U vodárny;Brno;204
Jakubské námìstí;Brno;203
erotínovo námìstí;Brno;202
Sukova;Brno;202
Luánecká;Brno;200
Novobranská;Brno;197
Horova;Brno;197
Nové sady;Brno;196
Šilingrovo námìstí;Brno;195
Zahradnická;Brno;195
Jiráskova;Brno;191
Bakalovo nábøeí;Brno;188
Kolištì;Brno;187
Koniklecová;Brno;186
Vıstavní;Brno;184
Bayerova;Brno;182
Sochorova;Brno;179
Radnická;Brno;179
Vodova;Brno;178
Nerudova;Brno;178
Libušina tøída;Brno;178
Bieblova;Brno;178
Srbská;Brno;177
Hvìzdová;Brno;176
Kolejní;Brno;175
Zborovská;Brno;174
Kamenice;Brno;173
Zapletalova;Brno;171
Masarykova;Brno;171
Klatovská;Brno;169
Dvoøákova;Brno;169
Dukelská tøída;Brno;169
Èápkova;Brno;167
Veslaøská;Brno;166
Støední;Brno;164
Boetìchova;Brno;156
Traubova;Brno;154
Hradecká;Brno;154
Rolnická;Brno;153
ikova;Brno;152
Studánka;Brno;150
Solnièní;Brno;150
Úzká;Brno;148
Mathonova;Brno;148
Velkopavlovická;Brno;146
Prušánecká;Brno;146
Renneská tøída;Brno;142
Mlınská;Brno;141
Josefská;Brno;140
Obvodová;Brno;139
Nádvorní;Brno;139
Vlhká;Brno;135
Joštova;Brno;134
Øípská;Brno;133
Ukrajinská;Brno;131
Spodní;Brno;131
Soukenická;Brno;129
Nováèkova;Brno;129
Neuilova;Brno;129
Uzbecká;Brno;128
Tuèkova;Brno;127
Chodská;Brno;126
Krásného;Brno;124
Havlenova;Brno;124
Plotní;Brno;122
Netopırky;Brno;122
Tkalcovská;Brno;121
Svatopluka èecha;Brno;120
Hostinského;Brno;120
Trıbova;Brno;119
Skøivanova;Brno;118
Okrouhlá;Brno;118
Lıskova;Brno;118
Laštùvkova;Brno;117
Labská;Brno;117
Horácké námìstí;Brno;117
Rerychova;Brno;116
Skácelova;Brno;114
námìstí 28. dubna;Brno;113
Pøírodní;Brno;113
Opletalova;Brno;113
Lány;Brno;113
Poštovská;Brno;112
Bulharská;Brno;112
Plovdivská;Brno;111
Vrchlického sad;Brno;109
Tábor;Brno;108
námìstí snp;Brno;107
Kuldova;Brno;107
Skandinávská;Brno;106
Podnikatelská;Brno;106
Kurská;Brno;106
Kozí;Brno;105
Jaselská;Brno;105
Grohova;Brno;105
Molákova;Brno;104
Kobliná;Brno;104
Terezy novákové;Brno;103
Markùvky;Brno;103
Jana babáka;Brno;103
ebìtínská;Brno;102
Èernohorská;Brno;102
Vìstonická;Brno;102
Vojtova;Brno;102
Foltınova;Brno;102
Vychodilova;Brno;101
Svatoplukova;Brno;101
Pøíèní;Brno;101
Luèní;Brno;101
Lazaretní;Brno;100
Sevastopolská;Brno;99
Burešova;Brno;99
Kraví hora;Brno;98
tøída Generála Píky;Brno;97
Kamenná;Brno;97
Gruzínská;Brno;96
Sirotkova;Brno;95
Rumištì;Brno;95
Jakubská;Brno;95
Štouraèova;Brno;93
Skopalíkova;Brno;93
Bellova;Brno;93
Milady horákové;Brno;92
Bzenecká;Brno;92
Zámecká;Brno;91
Halasovo námìstí;Brno;91
Sportovní;Brno;90
Líšeòská;Brno;90
Klímova;Brno;90
Kyjevská;Brno;89
Berkova;Brno;89
Tyršova;Brno;88
Slavíèkova;Brno;88
Kuršova;Brno;88
Tuøanka;Brno;87
Kamínky;Brno;87
Bosonoská;Brno;87
Slovanské námìstí;Brno;86
Boøetická;Brno;86
Palachovo námìstí;Brno;85
Kovaøovicova;Brno;85
námìstí republiky;Brno;84
Studentská;Brno;84
Køiíkova;Brno;84
Cornovova;Brno;82
Bøezinova;Brno;82
Skoøepka;Brno;81
Lesnická;Brno;81
Františkánská;Brno;81
Praská;Brno;80
Hoppova;Brno;80
Moldavská;Brno;79
Herèíkova;Brno;79
Valouškova;Brno;78
Rotalova;Brno;78
Poznaòská;Brno;78
Opavská;Brno;78
Novomìstská;Brno;78
Záhøebská;Brno;77
Pastviny;Brno;77
Kšírova;Brno;77
K babì;Brno;77
Hálkova;Brno;77
Durïákova;Brno;77
Špitálka;Brno;76
Sokolská;Brno;75
Zoubkova;Brno;74
Nopova;Brno;74
Švermova;Brno;73
Zvìøinova;Brno;73
Synkova;Brno;73
Akademická;Brno;73
Škroupova;Brno;72
U zoologické zahrady;Brno;72
Olomoucká;Brno;72
Josefy faimonové;Brno;72
Dubová;Brno;72
Èechyòská;Brno;71
Zámeènická;Brno;71
Wollmanova;Brno;70
Panská;Brno;70
Foerstrova;Brno;69
Charbulova;Brno;69
Vondrákova;Brno;68
Leitnerova;Brno;68
Hrázka;Brno;68
Blatnická;Brno;67
Opálkova;Brno;66
Korejská;Brno;66
Stránského;Brno;65
Kubánská;Brno;64
Eèerova;Brno;64
Vejrostova;Brno;63
Elišky krásnohorské;Brno;63
Ve vaòkovce;Brno;62
Tìsnohlídkova;Brno;62
Rašínova;Brno;62
Havelkova;Brno;62
Øezáèova;Brno;61
Masná;Brno;61
Konopná;Brno;61
Hromádkova;Brno;61
Anenská;Brno;61
Šámalova;Brno;60
Øehoøova;Brno;60
Ulièka;Brno;60
Jemelkova;Brno;60
Špilberk;Brno;59
Sušilova;Brno;59
Charvatská;Brno;59
Veletrní;Brno;58
Pod nemocnicí;Brno;58
Mánesova;Brno;58
Mikulovská;Brno;58
Královopolská;Brno;58
Hutaøova;Brno;58
Heršpická;Brno;58
Haškova;Brno;58
Turgenìvova;Brno;57
Plachty;Brno;57
Holzova;Brno;57
Bohuòova;Brno;57
Èeòka rùièky;Brno;56
Vinaøská;Brno;56
V újezdech;Brno;56
Sedláèkova;Brno;56
kounicova;Brno;55
Drustevní;Brno;55
Dominikánská;Brno;55
Valtická;Brno;54
Svitavská;Brno;54
Stamicova;Brno;54
Oøechovská;Brno;54
Dvorského;Brno;54
Antonína macka;Brno;54
Štìpánská;Brno;53
námìstí svornosti;Brno;53
Medlánecká;Brno;53
Klusáèkova;Brno;53
Kamechy;Brno;53
Voronìská;Brno;52
Pod mniší horou;Brno;52
Obøanská;Brno;52
Kvìtináøská;Brno;52
Zdráhalova;Brno;51
Slovákova;Brno;51
Jírovcova;Brno;51
Stojanova;Brno;50
Broíkova;Brno;50
Boeny nìmcové;Brno;50
Tvrdého;Brno;49
Slámova;Brno;49
Pavlovská;Brno;49
Oderská;Brno;48
V aleji;Brno;47
Soubìná;Brno;47
Rybáøská;Brno;47
Hudcova;Brno;47
itná;Brno;46
U høištì;Brno;46
Podpíseèná;Brno;46
Gabriely preissové;Brno;46
Luná;Brno;45
Hvozdecká;Brno;45
Mikuláškovo námìstí;Brno;44
Maškova;Brno;44
Majdalenky;Brno;44
Luáneckı park;Brno;44
Klíèova;Brno;44
Dobrovského;Brno;44
Tišnovská;Brno;43
Slovinská;Brno;43
Ondrouškova;Brno;43
Maøíkova;Brno;43
Jílkova;Brno;43
Jedovnická;Brno;43
Francouzská;Brno;43
Florianova;Brno;43
Došlíkova;Brno;43
Turistická;Brno;42
Mutìnická;Brno;42
Metodìjova;Brno;42
Marie steyskalové;Brno;42
Košinova;Brno;42
Hodonínská;Brno;42
Fillova;Brno;42
Vaculíkova;Brno;41
Tìšínská;Brno;41
Soudní;Brno;41
Nad pøehradou;Brno;41
Komenského námìstí;Brno;41
Husovická;Brno;41
Heleny malíøové;Brno;41
Bøezová;Brno;41
Vinaøického;Brno;40
Schwaigrova;Brno;40
Porhajmova;Brno;40
Jírova;Brno;40
Jílová;Brno;40
Èeská;Brno;39
Vltavská;Brno;39
Venhudova;Brno;39
Sıpka;Brno;39
Mozolky;Brno;39
Kudelova;Brno;39
Absolonova;Brno;39
Marie hübnerové;Brno;38
Lieberzeitova;Brno;38
Janouškova;Brno;38
Heyrovského;Brno;38
Grmelova;Brno;38
Chaloupeckého námìstí;Brno;38
Bašného;Brno;38
Reissigova;Brno;37
Meèová;Brno;37
Køivánkovo námìstí;Brno;37
Kosmákova;Brno;37
Karáskovo námìstí;Brno;37
Filipova;Brno;37
Renèova;Brno;36
Praákova;Brno;36
