ulice,město,celkem,dopravní
Körnerova,Brno,25,23
Křehlíkova,Brno,7,6
Křenová,Brno,321,249
Křepelčí,Brno,15,15
Křivánkovo Náměstí,Brno,37,37
Křivánky,Brno,1,
Křivého,Brno,2,2
Křižkovského,Brno,1,1
Křižíkova,Brno,84,84
Křídlovická,Brno,440,405
Křížkovského,Brno,19,19
Křížová,Brno,8,5
Kšírova,Brno,77,69
Labská,Brno,117,105
Lacinova,Brno,1,1
Ladova,Brno,13,13
Langrova,Brno,23,22
Lazaretní,Brno,100,93
Laštůvkova,Brno,117,113
Ledárenská,Brno,1,
Leitnerova,Brno,68,61
Lelekovice,Brno,1,
Lelkova,Brno,33,32
Lerchova,Brno,28,28
Lesnická,Brno,81,77
Lesní,Brno,1,1
Letecká,Brno,4,3
Letní,Brno,2,2
Letovická,Brno,30,30
Libušina Třída,Brno,178,140
Libušino Údolí,Brno,11,9
Lidická,Brno,811,798
Lieberzeitova,Brno,38,37
Liliová,Brno,1,
Lipová,Brno,8,6
Lipská,Brno,10,10
Listnatá,Brno,2,2
Lišejníková,Brno,1,1
Lomená,Brno,9,2
Loosova,Brno,26,19
Lozíbky,Brno,2,2
Ludmily Konečné,Brno,12,8
Luh,Brno,3,3
Lučiny,Brno,1,
Luční,Brno,101,92
Lužická,Brno,7,7
Lužná,Brno,45,43
Lužánecká,Brno,200,195
Lužánecký Park,Brno,44,1
Lány,Brno,113,107
Lískovecká,Brno,1,1
Lísky,Brno,9,8
Líšeňská,Brno,90,74
Lýskova,Brno,118,113
Mahenova,Brno,3,3
Majdalenky,Brno,44,41
Makovského Náměstí,Brno,1246,1217
Malešovská,Brno,2,2
Malinovského Náměstí,Brno,210,203
Malinová,Brno,1,1
Malostranská,Brno,4,4
Malátova,Brno,16,14
Malínská,Brno,1,
Mandloňová,Brno,3,3
Maničky,Brno,20,15
Marešova,Brno,14,14
Marie Hübnerové,Brno,38,37
Marie Kudeříkové,Brno,11,3
Marie Majerové,Brno,3,3
Marie Steyskalové,Brno,42,40
Mariánské Náměstí,Brno,29,22
Mariánské Údolí,Brno,14,7
Markovičova,Brno,1,
Markéty Kuncové,Brno,23,17
Markůvky,Brno,103,102
Martina Ševčíka,Brno,7,7
Martinkova,Brno,3,3
Masarova,Brno,27,14
Masarykova,Brno,171,150
Masarykův Okruh,Brno,1,
Masná,Brno,61,57
Matalova,Brno,1,
Mathonova,Brno,148,147
Matlachova,Brno,1,1
Matulkova,Brno,20,20
Matzenauerova,Brno,6,5
Mazourova,Brno,11,9
Mařákova,Brno,4,4
Maříkova,Brno,43,43
Maškova,Brno,44,44
Medlánecká,Brno,53,53
Melatín,Brno,1,
Meluzínova,Brno,14,12
Mendlovo Náměstí,Brno,562,426
Merhautova,Brno,707,658
Meruňková,Brno,1,1
Metodějova,Brno,42,42
Mezníkova,Brno,11,10
Mezírka,Brno,586,581
Mečová,Brno,37,31
Mečířova,Brno,14,14
Michalova,Brno,1,
Mifkova,Brno,4,
Mikulovská,Brno,58,56
Mikuláškovo Náměstí,Brno,44,37
Mikulčická,Brno,18,11
Mikšíčkova,Brno,6,6
Milady Horákové,Brno,92,88
Milénova,Brno,36,33
Minoritská,Brno,27,18
Minská,Brno,349,346
Mlýnská,Brno,141,104
Mlýnské Nábřeží,Brno,10,8
Modřická,Brno,4,1
Modřínová,Brno,1,1
Mojmírovo Náměstí,Brno,652,648
Mojžíšova,Brno,1,1
Mokrohorská,Brno,1,1
Moldavská,Brno,79,74
Molákova,Brno,104,100
Moravanská,Brno,4,4
Moravská,Brno,1,1
Moravské Náměstí,Brno,338,330
Mostecká,Brno,29,27
Mozartova,Brno,453,444
Mozolky,Brno,39,36
Mošnova,Brno,1,1
Mrkosova,Brno,10,8
Muchova,Brno,3,3
Musilova,Brno,24,24
Musorgského,Brno,8,7
Mutěnická,Brno,42,37
Mučednická,Brno,16,16
Muškátová,Brno,1,
Myslbekova,Brno,1,1
Myslivecká,Brno,1,
Myslivečkova,Brno,19,19
Myslivní,Brno,6,4
Myslínova,Brno,4,2
Máchalova,Brno,5,5
Máchova,Brno,11,11
Mácova,Brno,1,
Májová,Brno,3,3
Mánesova,Brno,58,45
Mášova,Brno,288,288
Mírová,Brno,14,5
Místní,Brno,1,1
Míčkova,Brno,5,4
Měnínská,Brno,28,28
Měřičkova,Brno,7,7
Měšťanská,Brno,11,2
Na Kovárně,Brno,1,
Na Lukách,Brno,3,2
Na Pískové,Brno,27,25
Nad Dědinou,Brno,7,6
Nad Kašnou,Brno,2,2
Nad Pisárkami,Brno,1,
Nad Přehradou,Brno,41,41
Nadační,Brno,24,22
Navrátilova,Brno,19,19
Nedbalova,Brno,2,1
Nejedlého,Brno,34,32
Neklanova,Brno,21,20
Neklež,Brno,6,5
Nerudova,Brno,178,178
Netopýrky,Brno,122,119
Netroufalky,Brno,971,848
Netušilova,Brno,12,12
Neumannova,Brno,2,2
Neužilova,Brno,129,128
Nezamyslova,Brno,19,10
Nezvalova,Brno,34,34
Nešverova,Brno,2,2
Nivky,Brno,4,3
Nohavicova,Brno,2,2
Nopova,Brno,74,72
Nouzová,Brno,2,2
Novobranská,Brno,197,193
Novodvorská,Brno,3,3
Novolíšeňská,Brno,217,181
Novoměstská,Brno,78,75
Nová,Brno,1,1
Nováčkova,Brno,129,126
Nové Nivky,Brno,1,1
Nové Náměstí,Brno,7,7
Nové Sady,Brno,196,190
Nádražní,Brno,1388,563
Nádvorní,Brno,139,115
Náhorní,Brno,2,2
Nálepkova,Brno,21,20
Náměstí 28. Dubna,Brno,113,60
Náměstí 28. Října,Brno,386,380
Náměstí 3. Května,Brno,2,1
Náměstí Karla IV.,Brno,9,8
Náměstí Míru,Brno,14,10
Náměstí Odboje,Brno,1,1
Náměstí Republiky,Brno,84,79
Náměstí SNP,Brno,107,99
Náměstí Svobody,Brno,208,135
Náměstí Svornosti,Brno,53,32
Náplavka,Brno,31,23
Nárožní,Brno,1,1
Návrší Svobody,Brno,1,1
Obecní,Brno,13,13
Obilní Trh,Brno,1303,1293
Obilní Trh-11,Brno,1,1
Obilní Trh-U,Brno,1,1
Oblá,Brno,586,552
Obvodová,Brno,139,135
Obřanská,Brno,52,50
Obůrky,Brno,3,3
Odbojářská,Brno,16,15
Oderská,Brno,48,38
Odlehlá,Brno,1,1
Okrouhlá,Brno,118,113
Okružní,Brno,24,5
Olbrachtovo Náměstí,Brno,31,31
Oldřišky Keithové,Brno,1,1
Olomoucká,Brno,72,61
Olšová,Brno,4,4
Olší,Brno,1,
Ondrouškova,Brno,43,31
Ondrova,Brno,24,10
Ondráčkova,Brno,10,7
Ondříčkovo Náměstí,Brno,4,2
Opavská,Brno,78,67
Opletalova,Brno,113,112
Optátova,Brno,16,12
Opuštěná,Brno,13,12
Opálkova,Brno,66,53
Orlí,Brno,389,386
Osová,Brno,32,27
Ostopovická,Brno,1,1
Ostrovačická,Brno,7,6
Ostružinová,Brno,4,4
Ostrá,Brno,5,5
Otakara Ševčíka,Brno,26,25
Otevřená,Brno,11,10
Otiskova,Brno,1,
Ovocná,Brno,5,4
Ořechovská,Brno,54,54
Ořešínská,Brno,2,2
Pahrbek,Brno,3,1
Palachovo Náměstí,Brno,85,85
Palackého Náměstí,Brno,36,36
Palackého Třída,Brno,1435,1415
Palackého Vrch,Brno,5,
Palcary,Brno,464,426
Palírenská,Brno,2,2
Panenská,Brno,4,4
Panská,Brno,70,70
Park Marie Restituty,Brno,1,
Pastrnkova,Brno,30,25
Pastviny,Brno,77,44
Pavlovská,Brno,49,25
Pavlíkova,Brno,2,2
Pechova,Brno,16,15
Pekařská,Brno,1106,1094
Pekárenská,Brno,34,34
Pellicova,Brno,2249,2242
Peroutková,Brno,16,16
Perunova,Brno,5,5
Petra Křivky,Brno,421,354
Petrov,Brno,21,21
Petrská,Brno,219,218
Petrůvky,Brno,1,
Petřvaldská,Brno,2,2
Pflegrova,Brno,2,2
Pionýrská,Brno,4,3
Pisárecká,Brno,18,17
Pivovarská,Brno,19,16
Plachtova,Brno,3,1
Plachty,Brno,57,50
Plevova,Brno,10,9
Plotní,Brno,122,101
Plovdivská,Brno,111,107
Plynárenská,Brno,2,1
Pod Borovníkem,Brno,1,
Pod Cestou,Brno,1,1
Pod Holednou,Brno,1,
Pod Horkou,Brno,18,15
Pod Hády,Brno,1,
Pod Kaštany,Brno,267,194
Pod Kopcem,Brno,12,9
Pod Mniší,Brno,1,1
Pod Mniší Horou,Brno,52,52
Pod Nemocnicí,Brno,58,48
Pod Sídlištěm,Brno,2,1
Pod Zahradami,Brno,1,1
Pod Červenou,Brno,2,2
Podbělová,Brno,9,9
Podhájí,Brno,3,
Podlesná,Brno,1,
Podlesí,Brno,5,5
Podlipná,Brno,8,5
Podlomní,Brno,2,2
Podnikatelská,Brno,106,106
Podnásepní,Brno,14,11
Podolská,Brno,3,
Podpísečná,Brno,46,46
Podpěrova,Brno,23,21
Podruhova,Brno,7,6
Podsedky,Brno,13,8
Podsednická,Brno,8,8
Podskalská,Brno,1,1
Podstránská,Brno,4,1
Podveská,Brno,10,7
Poděbradova,Brno,23,23
Pohankova,Brno,6,6
Pohořelec,Brno,23,21
Polní,Brno,627,587
Poláčkova,Brno,30,27
Polívkova,Brno,4,4
Pompova,Brno,2,1
Ponávka,Brno,339,337
Popelova,Brno,1,
Popelákova,Brno,11,10
Porhajmova,Brno,40,36
Porážka,Brno,1,1
Potocká,Brno,5,4
Potácelova,Brno,17,17
Poznaňská,Brno,78,71
Poříčí,Brno,426,421
Poštovská,Brno,112,111
Požární,Brno,1,
Pramenná,Brno,5,5
Pratecká,Brno,1,1
Pražská,Brno,80,79
Pražákova,Brno,36,36
Preslova,Brno,3,2
Prodloužená,Brno,2,1
Prokešova,Brno,1,
Prokofjevova,Brno,29,28
Prokopa Velikého,Brno,1,1
Prokopův Kopec,Brno,1,1
Prostějovská,Brno,10,8
Prostřední,Brno,1,1
Provazníkova,Brno,291,290
Proškovo Náměstí,Brno,5,4
