35;Ibsenova
35;Havlíèkova
35;Barvíøská
34;Tomeèkova
34;Resslova
34;Pekárenská
34;Nezvalova
34;Kurská
34;Dobrovského
33;lutı Kopec
33;Ypsilantiho
33;U Viaduktu
33;Milénova
33;Filipova
33;Chopinova
32;Renèova
32;Námìstí Svornosti
32;Nejedlého
32;Lelkova
32;Kosmákova
32;Komínská
32;Kolaøíkova
32;Karáskovo Námìstí
32;Havránkova
32;Chvalovka
31;Štolcova
31;Zvìøinova
31;Vondrákova
31;Stará
31;Spáèilova
31;Ondrouškova
31;Olbrachtovo Námìstí
31;Meèová
31;Janouškova
31;Jamborova
31;Bratøí Èapkù
30;Øíèanská
30;Vlènovská
30;Vedlejší
30;Letovická
30;Krymská
30;Jana Svobody
30;Eèerova
30;Bøenkova
30;Absolonova
29;Zajeèí Hora
29;Voronìská
29;Sedláèkova
29;Ptašínského
29;Koperníkova
29;Kamanova
29;Jeneweinova
29;Geislerova
29;Chládkova
29;Bráfova
29;Brandlova
29;Bohuslava Martinù
28;Èeská
28;Zeiberlichova
28;Støedova
28;Ryšánkova
28;Prokofjevova
28;Mìnínská
28;Lerchova
28;Konradova
28;Kartouzská
28;Hilleho
28;Bìloruská
28;Bohunická
27;Èermákova
27;Topolky
27;Poláèkova
27;Osová
27;Mostecká
27;Kollárova
27;Húskova
27;Horníkova
27;Gebauerova
26;arošická
26;Vrázova
26;Toèná
26;Pøízova
26;Ke Statku
26;Kamenaèky
26;Havlišova
26;Fleischnerova
26;Bìlohorská
26;Blatouchová
25;ivného
25;Šeránkova
25;Vsetínská
25;Vinohrady
25;Riegrova
25;Pavlovská
25;Pastrnkova
25;Otakara Ševèíka
25;Na Pískové
25;Krkoškova
25;Jakuba Obrovského
25;Adamovská
24;Šmejkalova
24;Pšeník
24;Musilova
24;Klarisky
24;Jeèná
24;Fryèajova
24;Buzkova
24;Babièkova
23;Zábrdovická
23;Sobìšická
23;Slepá
23;Sladová
23;Podìbradova
23;Náplavka
23;Körnerova
23;Jilemnického
23;Besední
22;Rostislavovo Námìstí
22;Nadaèní
22;Mariánské Námìstí
22;Langrova
22;Kristenova
22;Kotlanova
22;Jílová
22;Hrubého
22;Hapalova
22;Cacovická
22;Burianovo Námìstí
22;Bolzanova
22;Amerlingova
21;Šelepova
21;Vachova
21;Ulice Kosmonautù
21;Strnadova
21;Pohoøelec
21;Podpìrova
21;Petrov
21;Kneslova
21;Kaštanová
21;Domalická
21;Bystøinova
20;Èernovická
20;Vìtrná
20;Rybníèek
20;Nálepkova
20;Neklanova
20;Matulkova
20;Kubešova
20;Kachlíkova
20;Irkutská
20;Hoblíkova
20;Heršpická
20;Dalimilova
19;Vránova
19;Valchaøská
19;Ruská
19;Páteøní
19;Navrátilova
19;Mysliveèkova
19;Loosova
19;Køíkovského
19;Kraví Hora
19;Heinrichova
19;Eleonory Voraèické
18;Èervinkova
18;Èejkovická
18;Všetièkova
18;Tøískalova
18;Tìební
18;Pøívrat
18;Minoritská
18;Drání
18;Chlupova
18;Bosonoské Námìstí
18;Bochoøákova
18;Arbesova
17;Souhrady
17;Potácelova
17;Pisárecká
17;Markéty Kuncové
17;Jírova
17;Jircháøe
17;Haasova
17;Brechtova
17;Banskobystrická
17;Arménská
16;Štıøické Nábøeí
16;Úpatní
16;Pivovarská
16;Peroutková
16;Muèednická
16;Klácelova
16;Jeøábkova
16;Hranièky
15;Vítìzná
15;Ulice Èoupkovıch
15;Skorkovského
15;Pod Horkou
15;Pechova
15;Odbojáøská
15;Manièky
15;Køepelèí
15;Kunzova
15;Kosmonautù
15;Kavèí
15;Jeronımova
15;Hoštická
15;Hlaváèkova
