ULICE,město,POCET celkem,POCET doprava
Kotulánova,Brno,1,1
Kotěrova,Brno,19,13
Kounicova,Brno,2146,68
Koutného,Brno,5,3
Kovařovicova,Brno,85,1
Kovácká,Brno,10,5
Kovářská,Brno,2,1
Kozí,Brno,105,5
Kozí Horka,Brno,2,
Kořenského,Brno,2,
Kořískova,Brno,13,1
Košinova,Brno,42,4
Košuličova,Brno,2,1
Koželužská,Brno,4,
Krajní,Brno,1,
Krasová,Brno,2,1
Krausova,Brno,20,11
Kraví Hora,Brno,98,79
Krejčího,Brno,6,
Kremličkova,Brno,6,
Kristenova,Brno,22,
Krkoškova,Brno,25,
Kroftova,Brno,5,1
Krokova,Brno,25,12
Kroměřížská,Brno,10,2
Krondlova,Brno,4,1
Kronova,Brno,2,
Kroupova,Brno,5,2
Krymská,Brno,33,3
Králova,Brno,7,1
Královka,Brno,1,
Královopolská,Brno,58,7
Královopolský Tunel,Brno,1,1
Krásného,Brno,124,22
Kubelíkova,Brno,3,
Kubešova,Brno,20,
Kubova,Brno,3,1
Kubánská,Brno,64,16
Kubíkova,Brno,7,2
Kubíčkova,Brno,558,22
Kudelova,Brno,39,1
Kuklenská,Brno,3,
Kuldova,Brno,107,7
Kunzova,Brno,15,
Kunštátská,Brno,9,
Kupkova,Brno,13,
Kurská,Brno,106,72
Kuršova,Brno,88,12
Kučerova,Brno,1,1
Kuřimská,Brno,3,
Kvapilova,Brno,8,
Květinářská,Brno,52,1
Květná,Brno,3,
Kyjevská,Brno,89,2
Kytnerova,Brno,2,
Kárníkova,Brno,6,3
Káčata,Brno,7,7
Körnerova,Brno,25,2
Křehlíkova,Brno,7,1
Křenová,Brno,321,72
Křepelčí,Brno,15,
Křivánkovo Náměstí,Brno,37,
Křivánky,Brno,1,1
Křivého,Brno,2,
Křižkovského,Brno,1,
Křižíkova,Brno,84,
Křídlovická,Brno,440,35
Křížkovského,Brno,19,
Křížová,Brno,8,3
Kšírova,Brno,77,8
Labská,Brno,117,12
Lacinova,Brno,1,
Ladova,Brno,13,
Langrova,Brno,23,1
Lazaretní,Brno,100,7
Laštůvkova,Brno,117,4
Ledárenská,Brno,1,1
Leitnerova,Brno,68,7
Lelekovice,Brno,1,1
Lelkova,Brno,33,1
Lerchova,Brno,28,
Lesnická,Brno,81,4
Lesní,Brno,1,
Letecká,Brno,4,1
Letní,Brno,2,
Letovická,Brno,30,
Libušina Třída,Brno,178,38
Libušino Údolí,Brno,11,2
Lidická,Brno,811,13
Lieberzeitova,Brno,38,1
Liliová,Brno,1,1
Lipová,Brno,8,2
Lipská,Brno,10,
Listnatá,Brno,2,
Lišejníková,Brno,1,
Lomená,Brno,9,7
Loosova,Brno,26,7
Lozíbky,Brno,2,
Ludmily Konečné,Brno,12,4
Luh,Brno,3,
Lučiny,Brno,1,1
Luční,Brno,101,9
Lužická,Brno,7,
Lužná,Brno,45,2
Lužánecká,Brno,200,5
Lužánecký Park,Brno,44,43
Lány,Brno,113,6
Lískovecká,Brno,1,
Lísky,Brno,9,1
Líšeňská,Brno,90,16
Lýskova,Brno,118,5
Mahenova,Brno,3,
Majdalenky,Brno,44,3
Makovského Náměstí,Brno,1246,29
Malešovská,Brno,2,
Malinovského Náměstí,Brno,210,7
Malinová,Brno,1,
Malostranská,Brno,4,
Malátova,Brno,16,2
Malínská,Brno,1,1
Mandloňová,Brno,3,
Maničky,Brno,20,5
Marešova,Brno,14,
Marie Hübnerové,Brno,38,1
Marie Kudeříkové,Brno,11,8
Marie Majerové,Brno,3,
Marie Steyskalové,Brno,42,2
Mariánské Náměstí,Brno,29,7
Mariánské Údolí,Brno,14,7
Markovičova,Brno,1,1
Markéty Kuncové,Brno,23,6
Markůvky,Brno,103,1
Martina Ševčíka,Brno,7,
Martinkova,Brno,3,
Masarova,Brno,27,13
Masarykova,Brno,171,21
Masarykův Okruh,Brno,1,1
Masná,Brno,61,4
Matalova,Brno,1,1
Mathonova,Brno,148,1
Matlachova,Brno,1,
Matulkova,Brno,20,
Matzenauerova,Brno,6,1
Mazourova,Brno,11,2
Mařákova,Brno,4,
Maříkova,Brno,43,
Maškova,Brno,44,
Medlánecká,Brno,53,
Melatín,Brno,1,1
Meluzínova,Brno,14,2
Mendlovo Náměstí,Brno,562,136
Merhautova,Brno,707,49
Meruňková,Brno,1,
Metodějova,Brno,42,
Mezníkova,Brno,11,1
Mezírka,Brno,586,5
Mečová,Brno,37,6
Mečířova,Brno,14,
Michalova,Brno,1,1
Mifkova,Brno,4,4
Mikulovská,Brno,58,2
Mikuláškovo Náměstí,Brno,44,7
Mikulčická,Brno,18,7
Mikšíčkova,Brno,6,
Milady Horákové,Brno,92,4
Milénova,Brno,36,3
Minoritská,Brno,27,9
Minská,Brno,349,3
Mlýnská,Brno,141,37
Mlýnské Nábřeží,Brno,10,2
