15;Hlaváèkova
12;Hlaváèova
594;Hlinky
2;Hliník
1;Hluboká
294;Hnìvkovského
30;Hoblíkova
17;Hochmanova
42;Hodonínská
312;Holandská
57;Holzova
80;Hoppova
12;Horní
32;Horníkova
197;Horova
2;Horská
2;Horymírova
117;Horácké Námìstí
8;Horákova
120;Hostinského
1;Hostislavova
17;Houbalova
1;Houškova
17;Hoštická
1;Hrad Veveøí
1;Hrad Špilberk
154;Hradecká
18;Hranièky
414;Hrnèíøská
61;Hromádkova
3;Hroznová
7;Hrozòatova
22;Hrubého
2;Hrušòová
68;Hrázka
584;Hrázní
8;Hubrova
47;Hudcova
1;Hujíèkova
8;Humenná
222;Husitská
312;Husova
41;Husovická
1;Husovickı Tunel
58;Hutaøova
9;Hviezdoslavova
45;Hvozdecká
176;Hvìzdová
6;Hvìzdárenská
1435;Hybešova
11;Hájkova
77;Hálkova
6;Högrova
33;Húskova
36;Ibsenova
23;Irkutská
6;Ivanovické Námìstí
13;Jabloòová
7;Jahodová
32;Jakuba Obrovského
95;Jakubská
203;Jakubské Námìstí
31;Jamborova
103;Jana Babáka
5;Jana Neèase
31;Jana Svobody
295;Jana Uhra
1;Jandáskova
38;Janouškova
14;Janáèkovo Námìstí
6;Jarní
16;Jasanová
105;Jaselská
1;Javorová
4;Jedlová
43;Jedovnická
3;Jehliènatá
3;Jehnická
14;Jelínkova
60;Jemelkova
35;Jeneweinova
16;Jeronımova
1;Jezerní
430;Jezuitská
25;Jeèná
4;Jeøabinová
16;Jeøábkova
8;Jekova
306;Jihlavská
15;Jihomoravské Námìstí
24;Jilemnického
18;Jindøichova
18;Jircháøe
11;Jiránkova
191;Jiráskova
12;Jiøíkovského
1;Jiní Námìstí
140;Josefská
72;Josefy Faimonové
11;Joukalova
134;Joštova
2;Joštova-6
1;Joky Jabùrkové
3;Jubilejní
552;Jugoslávská
28;Juliánovské Námìstí
1;Jundrov
5;Jundrovská
15;Jungmannova
2;Junácká
1;Juranka
10;Jurkovièova
5;Jánošíkova
221;Jánská
2;Járy Cimrmana
43;Jílkova
40;Jílová
40;Jírova
51;Jírovcova
77;K Babì
7;K Bukovinám
3;K Dálnici
5;K Lesu
1;K Lázinkám
